Text,Model,P1,P2,P3,P4,Topsis_Score,Rank
T1,bert-base-uncased,0.801887114742279,0.7533758554458618,0.8164360997672087,0.6506192004089355,0.4785665685809565,5
 ,roberta-base,0.9852567770481155,0.9773416489953995,0.982266574025154,0.9064098722639083,0.4797999595074752,4
 ,distilbert-base-uncased,0.8585989773273468,0.7394769812028046,0.8960894203186035,0.7821040451526642,0.49883293593736894,1
 ,xlnet-base-cased,0.9689019026756287,0.9492120978832245,0.9766262173652649,0.9744448068141937,0.49788295961439866,2
 ,albert-base-v2,0.9092041425704956,0.8626614763736725,0.9390076003074646,0.8027613632087708,0.48486814673881584,3
