Text,Model,P1,P2,P3,P4
T1,bert-base-uncased,0.801887114742279,0.7533758554458618,0.8164360997672087,0.6506192004089355
 ,roberta-base,0.9852567770481155,0.9773416489953995,0.982266574025154,0.9064098722639083
 ,distilbert-base-uncased,0.8585989773273468,0.7394769812028046,0.8960894203186035,0.7821040451526642
 ,xlnet-base-cased,0.9689019026756287,0.9492120978832245,0.9766262173652649,0.9744448068141937
 ,albert-base-v2,0.9092041425704956,0.8626614763736725,0.9390076003074646,0.8027613632087708
